Year,World Cup,Year,Country,FIFA Young Player,Age,Continent
1958 ,Sweden,1958,Brazil,Pelé,17,South America
1962 ,Chile,1962,Hungary,Flórián Albert,20,Europe
1966 ,England,1966,Germany,Franz Beckenbauer,20,Europe
1970 ,Mexico,1970,Peru,Teófilo Cubillas,21,South America
1974 ,West Germany,1974,Poland,Władysław Żmuda,20,Europe
1978 ,Argentina,1978,Italy,Antonio Cabrini,20,Europe
1982 ,Spain,1982,France,Manuel Amoros,21,Europe
1986 ,Mexico,1986,Belgium,Enzo Scifo,20,Europe
1990 ,Italy,1990,Yugoslavia,Robert Prosinečki,21,Europe
1994 ,United States,1994,Netherlands,Marc Overmars,20,Europe
1998 ,France,1998,England,Michael Owen,18,Europe
2002 ,South Korea/Japan,2002,United States,Landon Donovan,20,North America
2006 ,Germany,2006,Germany,Lukas Podolski,21,Europe
2010 ,South Africa,2010,Germany,Thomas Müller,20,Europe
2014 ,Brazil,2014,France,Paul Pogba,21,Europe
2018 ,Russia,2018,France,Kylian Mbappé,19,Europe
2022 ,Qatar,2022,Argentina,Enzo Fernández,21,South America
