age,education,balance,duration
27,secondary,35,255
54,primary,466,297
43,secondary,105,668
31,secondary,19,65
27,secondary,126,436
28,secondary,-127,1044
50,secondary,1329,141
29,primary,343,39
25,secondary,192,112
38,secondary,43,135
36,secondary,-272,53
32,primary,4805,138
44,tertiary,1146,178
37,primary,380,548
48,secondary,1355,134
30,secondary,215,95
54,secondary,187,273
36,primary,0,304
33,secondary,555,425
34,secondary,295,64
28,secondary,-116,276
33,secondary,4385,92
30,secondary,137,407
34,secondary,296,147
35,secondary,534,148
44,secondary,93,125
36,secondary,-27,151
49,primary,-157,491
55,secondary,49,494
51,secondary,216,615
51,tertiary,1421,152
38,secondary,222,164
59,tertiary,1728,575
54,tertiary,5253,17
43,tertiary,47,316
60,primary,2648,148
34,secondary,0,160
31,secondary,-182,181
43,secondary,-313,89
53,primary,465,111
47,primary,25,142
59,unknown,147,119
39,primary,551,107
56,primary,58,227
41,secondary,650,149
41,primary,1618,134
60,primary,-63,1434
58,primary,4850,179
56,primary,409,176
36,primary,0,63
39,tertiary,1007,86
46,primary,312,113
58,primary,820,200
52,secondary,3369,196
41,secondary,841,250
59,secondary,-1336,450
35,primary,634,185
43,secondary,0,75
50,primary,9301,136
49,primary,486,229
51,secondary,34,200
39,secondary,506,718
38,tertiary,1444,139
30,secondary,0,161
41,secondary,923,141
45,secondary,-44,256
54,tertiary,413,39
47,secondary,3531,49
53,tertiary,243,66
41,primary,484,321
42,primary,213,434
33,secondary,170,782
34,tertiary,-236,118
54,secondary,1613,128
37,tertiary,555,104
59,secondary,1914,126
38,secondary,2220,87
27,secondary,450,107
59,tertiary,553,1272
31,secondary,92,401
42,unknown,0,64
45,primary,1805,758
37,secondary,1523,316
42,secondary,3407,277
40,primary,254,107
42,primary,11,111
27,secondary,1609,360
45,tertiary,1447,461
43,tertiary,27,412
41,secondary,125,244
47,primary,0,240
47,primary,1797,62
44,primary,2,46
46,unknown,2911,41
40,secondary,1395,122
33,secondary,522,559
36,tertiary,776,722
25,primary,0,64
45,secondary,879,621
27,secondary,266,232
43,primary,29,259
37,secondary,1633,629
47,unknown,12245,1103
48,tertiary,666,317
30,secondary,-134,61
35,secondary,0,126
59,primary,1247,66
46,secondary,926,385
43,secondary,-796,190
52,tertiary,493,61
37,secondary,343,74
45,secondary,268,96
54,tertiary,92,86
28,tertiary,0,94
42,unknown,6573,56
44,secondary,182,209
57,secondary,1143,69
46,secondary,4044,326
27,secondary,77,497
51,secondary,1327,21
29,secondary,488,223
57,secondary,0,236
59,secondary,23,66
57,primary,808,274
26,secondary,-236,459
36,secondary,-274,217
35,tertiary,12,289
40,secondary,-1,173
51,primary,505,130
45,secondary,88,332
33,primary,777,263
53,primary,0,114
39,primary,366,166
43,tertiary,460,94
60,primary,3427,169
28,primary,332,385
46,secondary,967,248
56,primary,21,118
32,tertiary,2559,889
32,secondary,1604,625
34,primary,-2,199
30,tertiary,0,240
51,secondary,505,199
29,tertiary,0,158
35,secondary,2110,39
29,primary,0,256
31,secondary,1,174
40,unknown,0,161
29,primary,57,461
44,primary,398,187
32,secondary,-1139,201
36,secondary,537,206
40,secondary,351,139
37,tertiary,0,643
45,secondary,-57,262
55,unknown,3068,44
39,secondary,2319,84
25,tertiary,437,121
41,secondary,879,60
34,secondary,232,130
37,secondary,-117,106
51,secondary,3003,149
35,secondary,0,480
49,primary,-167,51
28,secondary,909,532
26,secondary,428,575
27,tertiary,54,72
45,secondary,-176,574
34,secondary,564,445
27,secondary,221,554
35,secondary,35,129
48,secondary,8,46
33,secondary,149,254
31,secondary,475,226
40,unknown,29,118
56,secondary,977,1200
29,primary,161,295
40,tertiary,492,125
35,secondary,0,78
30,primary,40,174
59,secondary,13718,107
34,secondary,205,309
26,secondary,123,209
41,secondary,0,630
31,tertiary,0,57
58,secondary,2146,206
35,primary,63,243
27,secondary,-428,451
40,tertiary,0,111
52,tertiary,-1014,154
38,secondary,-228,162
30,secondary,-42,86
25,secondary,218,448
57,primary,282,261
29,secondary,123,151
48,primary,14,120
29,secondary,247,199
31,unknown,-6,94
38,secondary,216,97
29,secondary,-28,531
40,secondary,326,112
31,secondary,119,80
34,primary,69,41
29,primary,707,210
44,primary,-227,153
41,secondary,1085,599
34,secondary,368,2201
35,primary,25,236
43,tertiary,-132,532
59,primary,1265,849
46,secondary,700,136
55,secondary,82,500
41,primary,1529,61
59,tertiary,623,212
39,secondary,-241,337
26,tertiary,278,1467
33,secondary,1834,117
32,secondary,-398,387
41,secondary,0,353
29,secondary,-597,500
31,secondary,16,387
37,secondary,10,162
50,secondary,-79,70
27,tertiary,338,535
47,tertiary,-50,175
47,secondary,-239,973
47,tertiary,333,141
51,secondary,867,422
57,secondary,-37,354
44,secondary,0,835
51,tertiary,1392,511
28,primary,-196,209
41,secondary,0,166
30,secondary,269,1165
25,secondary,913,113
32,secondary,-267,98
40,secondary,193,190
31,secondary,78,104
30,secondary,85,88
25,secondary,111,316
45,secondary,226,211
